"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2001","39,884.32","39,884.32","39,884.32","39,884.32","","-3.77%"
"05/01/2001","41,448.46","41,448.46","41,448.46","41,448.46","","-4.42%"
"04/01/2001","43,363.98","43,363.98","43,363.98","43,363.98","","5.80%"
"03/01/2001","40,984.83","40,984.83","40,984.83","40,984.83","","-2.59%"
"02/01/2001","42,075.58","42,075.58","42,075.58","42,075.58","","-11.17%"
"01/01/2001","47,365.83","47,365.83","47,365.83","47,365.83","","3.22%"
"12/01/2000","45,889.54","45,889.54","45,889.54","45,889.54","","-5.67%"
"11/01/2000","48,649.35","48,649.35","48,649.35","48,649.35","","-2.46%"
"10/01/2000","49,874.31","49,874.31","49,874.31","49,874.31","","4.49%"
"09/01/2000","47,729.41","47,729.41","47,729.41","47,729.41","","-5.64%"
"08/01/2000","50,584.39","50,584.39","50,584.39","50,584.39","","3.95%"
"07/01/2000","48,663.99","48,663.99","48,663.99","48,663.99","","-0.05%"
"06/01/2000","48,688.39","48,688.39","48,688.39","48,688.39","","3.25%"
"05/01/2000","47,155.98","47,155.98","47,155.98","47,155.98","","1.82%"
"04/01/2000","46,314.12","46,314.12","46,314.12","46,314.12","","-0.94%"
"03/01/2000","46,755.79","46,755.79","46,755.79","46,755.79","","-6.37%"
"02/01/2000","49,935.31","49,935.31","49,935.31","49,935.31","","16.92%"
"01/01/2000","42,710.02","42,710.02","42,710.02","42,710.02","","-2.68%"
"12/01/1999","43,886.17","43,886.17","43,886.17","43,886.17","","17.26%"
"11/01/1999","37,427.08","37,427.08","37,427.08","37,427.08","","6.17%"
"10/01/1999","35,252.91","35,252.91","35,252.91","35,252.91","","-2.96%"
"09/01/1999","36,326.57","36,326.57","36,326.57","36,326.57","","0.20%"
"08/01/1999","36,253.37","36,253.37","36,253.37","36,253.37","","3.41%"
"07/01/1999","35,057.69","35,057.69","35,057.69","35,057.69","","-6.92%"
"06/01/1999","37,663.78","37,663.78","37,663.78","37,663.78","","-0.56%"
"05/01/1999","37,876.07","37,876.07","37,876.07","37,876.07","","-3.52%"
"04/01/1999","39,257.20","39,257.20","39,257.20","39,257.20","","0.26%"
"03/01/1999","39,154.71","39,154.71","39,154.71","39,154.71","","6.34%"
"02/01/1999","36,819.48","36,819.48","36,819.48","36,819.48","","1.83%"
"01/01/1999","36,158.20","36,158.20","36,158.20","36,158.20","","0.73%"
"12/01/1998","35,894.67","35,894.67","35,894.67","35,894.67","","6.52%"
"11/01/1998","33,696.09","33,696.09","33,696.09","33,696.09","","12.10%"
"10/01/1998","30,057.82","30,057.82","30,057.82","30,057.82","","6.43%"
"09/01/1998","28,242.34","28,242.34","28,242.34","28,242.34","","-11.59%"
"08/01/1998","31,946.50","31,946.50","31,946.50","31,946.50","","-13.93%"
"07/01/1998","37,114.74","37,114.74","37,114.74","37,114.74","","10.07%"
"06/01/1998","33,720.49","33,720.49","33,720.49","33,720.49","","-2.30%"
"05/01/1998","34,515.98","34,515.98","34,515.98","34,515.98","","5.32%"
"04/01/1998","32,771.27","32,771.27","32,771.27","32,771.27","","-5.15%"
"03/01/1998","34,550.14","34,550.14","34,550.14","34,550.14","","21.05%"
"02/01/1998","28,542.48","28,542.48","28,542.48","28,542.48","","3.60%"
"01/01/1998","27,549.34","27,549.34","27,549.34","27,549.34","","12.90%"
